r,Integral,Error,Time
0.010, 9.86460606E-01, 1.073E-05, 7.448E+01
0.018, 9.86451866E-01, 8.216E-06, 7.398E+01
0.026, 9.86439490E-01, 6.992E-06, 7.376E+01
0.033, 9.86418882E-01, 6.059E-06, 7.369E+01
0.041, 9.86388030E-01, 5.543E-06, 7.365E+01
0.049, 9.86347728E-01, 5.068E-06, 7.350E+01
0.057, 9.85911812E-01, 4.665E-06, 2.155E+02
0.065, 9.86095109E-01, 4.434E-06, 1.452E+02
0.073, 9.85178871E-01, 4.066E-06, 4.259E+02
0.080, 9.84633897E-01, 3.788E-06, 5.661E+02
0.088, 9.85405644E-01, 3.763E-06, 2.854E+02
0.096, 9.84612904E-01, 3.446E-06, 5.661E+02
0.104, 9.83613030E-01, 3.229E-06, 7.784E+02
0.112, 9.83432608E-01, 3.159E-06, 7.784E+02
0.120, 9.83328256E-01, 2.983E-06, 7.782E+02
0.127, 9.82832778E-01, 2.817E-06, 9.184E+02
0.135, 9.82511868E-01, 2.729E-06, 9.887E+02
0.143, 9.82896478E-01, 2.666E-06, 8.467E+02
0.151, 9.82618759E-01, 2.630E-06, 8.467E+02
0.159, 9.82699221E-01, 2.548E-06, 8.466E+02
0.167, 9.82448243E-01, 2.507E-06, 7.780E+02
0.174, 9.81677816E-01, 2.365E-06, 9.169E+02
0.182, 9.81078682E-01, 2.275E-06, 1.057E+03
0.190, 9.81975417E-01, 2.358E-06, 6.362E+02
0.198, 9.81624501E-01, 2.283E-06, 6.360E+02
0.206, 9.80746398E-01, 2.227E-06, 8.481E+02
0.214, 9.80685055E-01, 2.202E-06, 7.082E+02
0.221, 9.81072923E-01, 2.175E-06, 7.103E+02
0.229, 9.79236078E-01, 2.140E-06, 8.496E+02
0.237, 9.78960813E-01, 2.076E-06, 5.657E+02
0.245, 9.77226247E-01, 2.124E-06, 7.059E+02
0.253, 9.76589291E-01, 2.112E-06, 5.657E+02
0.261, 9.75946473E-01, 2.100E-06, 3.552E+02
0.268, 9.74234462E-01, 2.124E-06, 2.851E+02
0.276, 9.72551669E-01, 2.083E-06, 1.447E+02
0.284, 9.69450625E-01, 2.096E-06, 1.448E+02
0.292, 9.64912050E-01, 2.109E-06, 1.447E+02
0.300, 9.57754418E-01, 2.155E-06, 7.285E+01
0.307, 9.42191063E-01, 2.190E-06, 1.447E+02
0.315, 8.93650551E-01, 2.370E-06, 7.288E+01
0.323, 7.88690522E-01, 1.304E-06, 7.284E+01
0.331, 7.06275617E-01, 9.971E-07, 7.286E+01
0.339, 6.44154800E-01, 8.057E-07, 7.288E+01
0.347, 5.94093520E-01, 6.644E-07, 7.288E+01
0.354, 5.52090653E-01, 5.621E-07, 7.284E+01
0.362, 5.15937472E-01, 4.934E-07, 7.283E+01
0.370, 4.84266553E-01, 4.294E-07, 7.285E+01
0.378, 4.56162848E-01, 3.912E-07, 7.283E+01
0.386, 4.30976349E-01, 3.556E-07, 7.282E+01
0.394, 4.08225948E-01, 3.251E-07, 7.281E+01
0.401, 3.87543017E-01, 2.958E-07, 7.287E+01
0.409, 3.68637741E-01, 2.719E-07, 7.285E+01
0.417, 3.51277541E-01, 2.563E-07, 7.284E+01
0.425, 3.35272355E-01, 2.392E-07, 7.280E+01
0.433, 3.20464677E-01, 2.246E-07, 7.280E+01
0.441, 3.06722174E-01, 2.098E-07, 7.282E+01
0.448, 2.93932736E-01, 1.981E-07, 7.284E+01
0.456, 2.82000154E-01, 1.877E-07, 7.288E+01
0.464, 2.70841434E-01, 1.764E-07, 7.286E+01
