om,Integral,Error,Time
1.981, -8.12039732E-05, 1.473E-08, 1.088E+02
31854.849, -8.17602698E-05, 1.465E-08, 1.086E+02
63707.716, -8.23409974E-05, 1.478E-08, 1.087E+02
95560.584, -8.29365248E-05, 1.472E-08, 1.085E+02
127413.451, -8.35690670E-05, 1.476E-08, 1.086E+02
159266.319, -8.42230531E-05, 1.471E-08, 1.084E+02
191119.186, -8.48973693E-05, 1.482E-08, 1.084E+02
222972.054, -8.56178851E-05, 1.499E-08, 1.085E+02
254824.922, -8.63556768E-05, 1.468E-08, 1.085E+02
286677.789, -8.71385011E-05, 1.468E-08, 1.084E+02
318530.657, -8.79501162E-05, 1.475E-08, 1.084E+02
350383.524, -8.88235177E-05, 1.475E-08, 1.084E+02
382236.392, -8.97444287E-05, 1.492E-08, 1.084E+02
414089.259, -9.07193728E-05, 1.499E-08, 1.084E+02
445942.127, -9.17342615E-05, 1.489E-08, 1.084E+02
477794.994, -9.28335871E-05, 1.477E-08, 1.085E+02
509647.862, -9.40320121E-05, 1.488E-08, 1.087E+02
541500.730, -9.52930268E-05, 1.466E-08, 1.084E+02
573353.597, -9.66816413E-05, 1.474E-08, 1.085E+02
605206.465, -9.81827290E-05, 1.501E-08, 1.085E+02
637059.332, -9.98344185E-05, 1.509E-08, 1.085E+02
668912.200, -1.01673713E-04, 1.510E-08, 1.085E+02
700765.067, -1.03742977E-04, 1.522E-08, 1.084E+02
732617.935, -1.06093551E-04, 1.532E-08, 1.084E+02
764470.803, -1.08826634E-04, 1.506E-08, 1.084E+02
796323.670, -1.12062001E-04, 1.523E-08, 1.084E+02
828176.538, -1.16029766E-04, 1.518E-08, 1.085E+02
860029.405, -1.21086694E-04, 1.532E-08, 1.086E+02
891882.273, -1.27835686E-04, 1.520E-08, 1.085E+02
923735.140, -1.36303035E-04, 1.535E-08, 1.089E+02
955588.008, -1.37778925E-04, 1.533E-08, 1.087E+02
987440.875, -1.29375301E-04, 1.561E-08, 1.086E+02
1019293.743, -1.22018541E-04, 1.545E-08, 1.087E+02
1051146.611, -1.16518972E-04, 1.557E-08, 1.085E+02
1082999.478, -1.12226944E-04, 1.566E-08, 1.084E+02
1114852.346, -1.08730757E-04, 1.576E-08, 1.085E+02
1146705.213, -1.05783520E-04, 1.573E-08, 1.088E+02
1178558.081, -1.03260491E-04, 1.570E-08, 1.084E+02
1210410.948, -1.01029593E-04, 1.587E-08, 1.085E+02
1242263.816, -9.90431108E-05, 1.585E-08, 1.084E+02
1274116.684, -9.72357924E-05, 1.571E-08, 1.084E+02
1305969.551, -9.56053147E-05, 1.564E-08, 1.084E+02
1337822.419, -9.40990605E-05, 1.572E-08, 1.084E+02
1369675.286, -9.27078633E-05, 1.545E-08, 1.084E+02
1401528.154, -9.14106929E-05, 1.561E-08, 1.084E+02
1433381.021, -9.02188709E-05, 1.536E-08, 1.085E+02
1465233.889, -8.90672151E-05, 1.532E-08, 1.085E+02
1497086.756, -8.80024187E-05, 1.549E-08, 1.085E+02
1528939.624, -8.69811951E-05, 1.556E-08, 1.084E+02
1560792.492, -8.60335566E-05, 1.545E-08, 1.084E+02
