r,Integral,Error,Time
10.000, 1.96356793E-04, 2.611E-07, 1.653E+02
11.000, -1.92053817E-04, 2.854E-07, 1.651E+02
12.000, -4.73943763E-04, 2.823E-07, 1.654E+02
13.000, -6.44249898E-04, 2.865E-07, 1.654E+02
14.000, -7.06432831E-04, 3.003E-07, 1.655E+02
15.000, -6.70906341E-04, 2.659E-07, 1.657E+02
16.000, -5.60617232E-04, 2.389E-07, 1.657E+02
17.000, -4.11871979E-04, 2.275E-07, 1.660E+02
18.000, -2.60098863E-04, 2.199E-07, 1.659E+02
19.000, -1.24228451E-04, 2.180E-07, 1.659E+02
20.000, -6.42343097E-06, 2.260E-07, 1.661E+02
21.000, 9.13666926E-05, 2.401E-07, 1.661E+02
22.000, 1.63815889E-04, 2.338E-07, 1.660E+02
23.000, 2.09485286E-04, 2.378E-07, 1.660E+02
24.000, 2.29599600E-04, 2.288E-07, 1.661E+02
25.000, 2.23956825E-04, 2.207E-07, 1.664E+02
26.000, 1.95165083E-04, 2.166E-07, 1.663E+02
27.000, 1.50264496E-04, 2.106E-07, 1.662E+02
28.000, 9.95817608E-05, 2.111E-07, 1.662E+02
29.000, 4.93323655E-05, 2.143E-07, 1.662E+02
30.000, 1.04944309E-06, 2.261E-07, 1.663E+02
31.000, -4.29059533E-05, 2.262E-07, 1.663E+02
32.000, -7.78300489E-05, 2.310E-07, 1.662E+02
33.000, -1.01082659E-04, 2.113E-07, 1.664E+02
34.000, -1.12944501E-04, 1.996E-07, 1.665E+02
35.000, -1.12109577E-04, 1.762E-07, 1.664E+02
36.000, -9.88197549E-05, 1.847E-07, 1.664E+02
37.000, -7.59705194E-05, 1.804E-07, 1.664E+02
38.000, -4.94364913E-05, 1.879E-07, 1.663E+02
39.000, -2.25807254E-05, 2.037E-07, 1.665E+02
40.000, 3.64034369E-06, 2.344E-07, 1.663E+02
41.000, 2.75244512E-05, 2.389E-07, 1.663E+02
42.000, 4.57803512E-05, 2.409E-07, 1.664E+02
43.000, 5.78082449E-05, 2.381E-07, 1.664E+02
44.000, 6.37237224E-05, 2.325E-07, 1.664E+02
45.000, 6.33939015E-05, 2.174E-07, 1.664E+02
46.000, 5.60168150E-05, 2.094E-07, 1.664E+02
47.000, 4.34776452E-05, 2.047E-07, 1.664E+02
48.000, 2.84849058E-05, 2.028E-07, 1.664E+02
49.000, 1.28375517E-05, 2.020E-07, 1.663E+02
50.000, -3.02840104E-06, 2.043E-07, 1.667E+02
51.000, -1.75682990E-05, 2.142E-07, 1.667E+02
52.000, -2.92901897E-05, 2.120E-07, 1.666E+02
53.000, -3.72968601E-05, 2.172E-07, 1.666E+02
54.000, -4.13045380E-05, 2.080E-07, 1.666E+02
55.000, -4.10139242E-05, 2.086E-07, 1.666E+02
56.000, -3.62323295E-05, 2.003E-07, 1.666E+02
57.000, -2.82908742E-05, 1.954E-07, 1.666E+02
58.000, -1.80136217E-05, 2.051E-07, 1.666E+02
59.000, -7.55237160E-06, 1.975E-07, 1.665E+02
60.000, 2.98333216E-06, 2.017E-07, 1.666E+02
61.000, 1.28167413E-05, 2.033E-07, 1.665E+02
62.000, 2.05694088E-05, 2.043E-07, 1.665E+02
63.000, 2.51868536E-05, 2.042E-07, 1.666E+02
64.000, 2.75284688E-05, 2.006E-07, 1.665E+02
65.000, 2.74878945E-05, 1.932E-07, 1.665E+02
66.000, 2.43343014E-05, 1.944E-07, 1.667E+02
67.000, 1.86877828E-05, 1.942E-07, 1.665E+02
68.000, 1.20000366E-05, 1.896E-07, 1.665E+02
69.000, 4.77880301E-06, 1.904E-07, 1.665E+02
70.000, -2.47338257E-06, 1.953E-07, 1.666E+02
71.000, -9.44612210E-06, 1.864E-07, 1.665E+02
72.000, -1.47893372E-05, 1.885E-07, 1.667E+02
73.000, -1.82262656E-05, 1.929E-07, 1.666E+02
74.000, -2.01396325E-05, 1.900E-07, 1.666E+02
75.000, -2.01939860E-05, 1.911E-07, 1.666E+02
76.000, -1.78852073E-05, 1.860E-07, 1.666E+02
77.000, -1.33463233E-05, 1.851E-07, 1.666E+02
78.000, -8.35585450E-06, 1.816E-07, 1.666E+02
79.000, -3.21628042E-06, 1.857E-07, 1.667E+02
80.000, 2.18195858E-06, 1.791E-07, 1.666E+02
81.000, 7.46310292E-06, 1.853E-07, 1.666E+02
82.000, 1.12028487E-05, 1.814E-07, 1.666E+02
83.000, 1.36162741E-05, 1.817E-07, 1.666E+02
84.000, 1.48269819E-05, 1.824E-07, 1.666E+02
85.000, 1.44597512E-05, 1.777E-07, 1.666E+02
86.000, 1.28104406E-05, 1.772E-07, 1.666E+02
87.000, 9.60074742E-06, 1.718E-07, 1.666E+02
88.000, 5.82886108E-06, 1.715E-07, 1.665E+02
89.000, 2.06563245E-06, 1.701E-07, 1.665E+02
90.000, -1.88280323E-06, 1.683E-07, 1.666E+02
91.000, -6.04485424E-06, 1.679E-07, 1.666E+02
92.000, -8.94532633E-06, 1.746E-07, 1.667E+02
93.000, -1.05528637E-05, 1.749E-07, 1.666E+02
94.000, -1.14491512E-05, 1.694E-07, 1.666E+02
95.000, -1.12568020E-05, 1.739E-07, 1.666E+02
96.000, -9.87639741E-06, 1.645E-07, 1.666E+02
97.000, -7.36909226E-06, 1.634E-07, 1.665E+02
98.000, -4.45233479E-06, 1.670E-07, 1.666E+02
99.000, -1.45387150E-06, 1.669E-07, 1.668E+02
