r,Integral,Error,Time
100.000, 1.57297836E-06, 1.301E-07, 3.347E+02
101.000, 4.28911195E-06, 1.273E-07, 3.345E+02
102.000, 6.89420030E-06, 1.313E-07, 3.344E+02
103.000, 8.51442025E-06, 1.285E-07, 3.345E+02
104.000, 8.61516477E-06, 1.313E-07, 3.344E+02
105.000, 8.27196806E-06, 1.271E-07, 3.344E+02
106.000, 7.55286197E-06, 1.276E-07, 3.344E+02
107.000, 5.73502765E-06, 1.276E-07, 3.344E+02
108.000, 3.15989030E-06, 1.285E-07, 3.344E+02
109.000, 6.20177464E-07, 1.272E-07, 3.344E+02
110.000, -1.47745693E-06, 1.273E-07, 3.344E+02
111.000, -3.52088530E-06, 1.259E-07, 3.343E+02
112.000, -5.70692645E-06, 1.250E-07, 3.343E+02
113.000, -7.00415042E-06, 1.249E-07, 3.343E+02
114.000, -6.96410186E-06, 1.257E-07, 3.344E+02
115.000, -6.79622767E-06, 1.251E-07, 3.345E+02
116.000, -6.10722616E-06, 1.254E-07, 3.343E+02
117.000, -4.66081228E-06, 1.266E-07, 3.343E+02
118.000, -2.43628815E-06, 1.235E-07, 3.344E+02
119.000, -4.52279513E-07, 1.244E-07, 3.344E+02
120.000, 1.09578689E-06, 1.238E-07, 3.344E+02
121.000, 2.96108839E-06, 1.226E-07, 3.345E+02
122.000, 4.59174658E-06, 1.234E-07, 3.343E+02
123.000, 5.43845463E-06, 1.231E-07, 3.343E+02
124.000, 5.56488703E-06, 1.189E-07, 3.343E+02
125.000, 5.22914420E-06, 1.208E-07, 3.343E+02
126.000, 4.75759802E-06, 1.212E-07, 3.343E+02
127.000, 3.56827233E-06, 1.189E-07, 3.346E+02
128.000, 1.74502011E-06, 1.199E-07, 3.343E+02
129.000, 6.82710966E-08, 1.207E-07, 3.344E+02
130.000, -1.13959063E-06, 1.181E-07, 3.343E+02
131.000, -2.57377644E-06, 1.187E-07, 3.344E+02
132.000, -3.98874972E-06, 1.187E-07, 3.344E+02
133.000, -4.69788948E-06, 1.173E-07, 3.343E+02
134.000, -4.58292595E-06, 1.163E-07, 3.343E+02
135.000, -4.44408905E-06, 1.181E-07, 3.344E+02
136.000, -4.05160348E-06, 1.168E-07, 3.344E+02
137.000, -2.96681681E-06, 1.173E-07, 3.344E+02
138.000, -1.54475715E-06, 1.132E-07, 3.346E+02
139.000, -1.53615933E-07, 1.165E-07, 3.344E+02
140.000, 9.03977361E-07, 1.159E-07, 3.343E+02
141.000, 2.00183240E-06, 1.164E-07, 3.343E+02
142.000, 3.16673257E-06, 1.142E-07, 3.345E+02
143.000, 3.76402301E-06, 1.140E-07, 3.344E+02
144.000, 3.62290503E-06, 1.155E-07, 3.344E+02
145.000, 3.39056852E-06, 1.097E-07, 3.344E+02
146.000, 3.08480272E-06, 1.137E-07, 3.343E+02
147.000, 2.20242252E-06, 1.104E-07, 3.344E+02
148.000, 9.38587014E-07, 1.112E-07, 3.344E+02
149.000, -1.12788475E-07, 1.112E-07, 3.345E+02
150.000, -9.01209216E-07, 1.117E-07, 3.347E+02
151.000, -1.92279316E-06, 1.114E-07, 3.358E+02
152.000, -2.81025518E-06, 1.089E-07, 3.345E+02
153.000, -3.29487426E-06, 1.093E-07, 3.345E+02
154.000, -3.22307891E-06, 1.098E-07, 3.344E+02
155.000, -3.03300674E-06, 1.091E-07, 3.343E+02
156.000, -2.72278966E-06, 1.095E-07, 3.344E+02
157.000, -1.96499029E-06, 1.077E-07, 3.343E+02
158.000, -8.60375467E-07, 1.099E-07, 3.345E+02
159.000, 1.25961733E-08, 1.067E-07, 3.345E+02
160.000, 7.91869965E-07, 1.090E-07, 3.343E+02
161.000, 1.53296665E-06, 1.097E-07, 3.344E+02
162.000, 2.29312625E-06, 1.065E-07, 3.344E+02
163.000, 2.62361683E-06, 1.071E-07, 3.343E+02
164.000, 2.50364403E-06, 1.051E-07, 3.346E+02
165.000, 2.31509242E-06, 1.062E-07, 3.349E+02
166.000, 2.15051369E-06, 1.048E-07, 3.349E+02
167.000, 1.53680977E-06, 1.057E-07, 3.350E+02
168.000, 5.82021414E-07, 1.037E-07, 3.352E+02
169.000, -2.22560377E-07, 1.056E-07, 3.350E+02
170.000, -8.01457769E-07, 1.047E-07, 3.350E+02
171.000, -1.40436184E-06, 1.036E-07, 3.350E+02
172.000, -2.10287393E-06, 1.033E-07, 3.349E+02
173.000, -2.39816629E-06, 1.039E-07, 3.349E+02
174.000, -2.33186379E-06, 1.059E-07, 3.349E+02
175.000, -2.19773720E-06, 1.009E-07, 3.349E+02
