r,Integral,Error,Time
100.000, 1.79291390E-06, 1.961E-07, 3.310E+02
101.000, 4.65562521E-06, 1.920E-07, 3.310E+02
102.000, 6.62987708E-06, 1.910E-07, 3.309E+02
103.000, 8.20547822E-06, 1.891E-07, 3.310E+02
104.000, 8.87789729E-06, 1.871E-07, 3.310E+02
105.000, 8.57113600E-06, 1.875E-07, 3.310E+02
106.000, 7.30157377E-06, 1.857E-07, 3.309E+02
107.000, 5.62715409E-06, 1.822E-07, 3.310E+02
108.000, 3.19841860E-06, 1.818E-07, 3.310E+02
109.000, 8.55233965E-07, 1.807E-07, 3.310E+02
110.000, -1.79338726E-06, 1.884E-07, 3.309E+02
111.000, -3.75507899E-06, 1.868E-07, 3.309E+02
112.000, -5.58870546E-06, 1.852E-07, 3.310E+02
113.000, -6.56199739E-06, 1.810E-07, 3.309E+02
114.000, -7.33786918E-06, 1.800E-07, 3.309E+02
115.000, -6.91933496E-06, 1.814E-07, 3.309E+02
116.000, -6.07893501E-06, 1.785E-07, 3.311E+02
117.000, -4.46938142E-06, 1.761E-07, 3.310E+02
118.000, -2.59522900E-06, 1.746E-07, 3.309E+02
119.000, -5.10369156E-07, 1.739E-07, 3.309E+02
120.000, 1.33697613E-06, 1.787E-07, 3.311E+02
121.000, 3.09049601E-06, 1.790E-07, 3.310E+02
122.000, 4.39372288E-06, 1.764E-07, 3.310E+02
123.000, 5.39627707E-06, 1.767E-07, 3.309E+02
124.000, 5.56358770E-06, 1.728E-07, 3.311E+02
125.000, 5.49392482E-06, 1.753E-07, 3.309E+02
126.000, 4.53368293E-06, 1.705E-07, 3.309E+02
127.000, 3.37615376E-06, 1.747E-07, 3.309E+02
128.000, 1.92315055E-06, 1.685E-07, 3.309E+02
129.000, 2.63669506E-07, 1.683E-07, 3.310E+02
130.000, -1.36746665E-06, 1.696E-07, 3.310E+02
131.000, -2.61126961E-06, 1.722E-07, 3.310E+02
132.000, -3.91312193E-06, 1.729E-07, 3.309E+02
133.000, -4.46829987E-06, 1.673E-07, 3.310E+02
134.000, -4.76679697E-06, 1.690E-07, 3.309E+02
135.000, -4.49560521E-06, 1.700E-07, 3.309E+02
136.000, -3.85131309E-06, 1.670E-07, 3.309E+02
137.000, -2.80116604E-06, 1.662E-07, 3.310E+02
138.000, -1.66239738E-06, 1.622E-07, 3.309E+02
139.000, -2.02173658E-07, 1.641E-07, 3.309E+02
140.000, 1.01060417E-06, 1.615E-07, 3.309E+02
141.000, 2.15572120E-06, 1.611E-07, 3.310E+02
142.000, 3.05435102E-06, 1.644E-07, 3.311E+02
143.000, 3.62786316E-06, 1.664E-07, 3.309E+02
144.000, 3.78352076E-06, 1.605E-07, 3.309E+02
145.000, 3.61963392E-06, 1.642E-07, 3.309E+02
146.000, 2.98506614E-06, 1.614E-07, 3.310E+02
147.000, 2.35083894E-06, 1.574E-07, 3.309E+02
148.000, 1.08672297E-06, 1.590E-07, 3.309E+02
149.000, 1.58793425E-08, 1.572E-07, 3.309E+02
150.000, -1.07810061E-06, 1.622E-07, 3.310E+02
151.000, -1.95764591E-06, 1.589E-07, 3.310E+02
152.000, -2.71852126E-06, 1.582E-07, 3.309E+02
153.000, -3.13307879E-06, 1.549E-07, 3.309E+02
154.000, -3.45229171E-06, 1.559E-07, 3.309E+02
155.000, -2.99861244E-06, 1.561E-07, 3.310E+02
156.000, -2.70129525E-06, 1.539E-07, 3.309E+02
157.000, -1.86186791E-06, 1.534E-07, 3.310E+02
158.000, -1.03124209E-06, 1.567E-07, 3.309E+02
159.000, -1.15276188E-07, 1.542E-07, 3.310E+02
160.000, 7.63028835E-07, 1.541E-07, 3.310E+02
161.000, 1.58127351E-06, 1.520E-07, 3.309E+02
162.000, 2.16815747E-06, 1.585E-07, 3.309E+02
163.000, 2.55925558E-06, 1.492E-07, 3.309E+02
164.000, 2.70543294E-06, 1.522E-07, 3.311E+02
165.000, 2.43964370E-06, 1.526E-07, 3.309E+02
166.000, 2.04400886E-06, 1.511E-07, 3.309E+02
167.000, 1.37495929E-06, 1.539E-07, 3.309E+02
168.000, 6.62979203E-07, 1.477E-07, 3.311E+02
169.000, -1.27560238E-07, 1.483E-07, 3.309E+02
170.000, -8.73658105E-07, 1.484E-07, 3.309E+02
171.000, -1.55425915E-06, 1.473E-07, 3.309E+02
172.000, -2.02208997E-06, 1.450E-07, 3.311E+02
173.000, -2.24610184E-06, 1.484E-07, 3.310E+02
174.000, -2.40034257E-06, 1.487E-07, 3.309E+02
175.000, -2.25831400E-06, 1.474E-07, 3.309E+02
176.000, -1.92542168E-06, 1.487E-07, 3.310E+02
177.000, -1.28300109E-06, 1.488E-07, 3.310E+02
178.000, -7.40544686E-07, 1.437E-07, 3.309E+02
179.000, -6.54875367E-08, 1.442E-07, 3.309E+02
180.000, 6.38069307E-07, 1.447E-07, 3.310E+02
181.000, 1.25244015E-06, 1.439E-07, 3.311E+02
182.000, 1.54923971E-06, 1.437E-07, 3.309E+02
183.000, 1.86311259E-06, 1.465E-07, 3.309E+02
184.000, 1.87958967E-06, 1.465E-07, 3.309E+02
185.000, 1.76457932E-06, 1.430E-07, 3.311E+02
186.000, 1.39701054E-06, 1.415E-07, 3.309E+02
187.000, 9.87389666E-07, 1.417E-07, 3.309E+02
188.000, 4.53051159E-07, 1.413E-07, 3.309E+02
189.000, -8.47489117E-08, 1.404E-07, 3.310E+02
190.000, -7.47524302E-07, 1.424E-07, 3.309E+02
191.000, -1.19627144E-06, 1.385E-07, 3.309E+02
192.000, -1.54205460E-06, 1.399E-07, 3.309E+02
193.000, -1.75610607E-06, 1.422E-07, 3.311E+02
194.000, -1.77030120E-06, 1.403E-07, 3.310E+02
195.000, -1.61773630E-06, 1.416E-07, 3.309E+02
196.000, -1.38402717E-06, 1.403E-07, 3.309E+02
197.000, -8.61410982E-07, 1.399E-07, 3.309E+02
198.000, -4.85260096E-07, 1.379E-07, 3.310E+02
