r, Integral, Error, Time
10.000, 2.00250184E-04, 1.731E-07, 3.304E+02
11.000, -1.83870254E-04, 1.841E-07, 3.296E+02
12.000, -4.76816411E-04, 1.906E-07, 3.304E+02
13.000, -6.50557289E-04, 1.876E-07, 3.306E+02
14.000, -7.04039781E-04, 1.823E-07, 3.309E+02
15.000, -6.65876052E-04, 1.752E-07, 3.309E+02
16.000, -5.62529406E-04, 1.658E-07, 3.311E+02
17.000, -4.15979729E-04, 1.595E-07, 3.314E+02
18.000, -2.58658055E-04, 1.461E-07, 3.316E+02
19.000, -1.20652985E-04, 1.426E-07, 3.318E+02
20.000, -7.71198951E-06, 1.439E-07, 3.318E+02
21.000, 8.82169916E-05, 1.462E-07, 3.323E+02
22.000, 1.65191239E-04, 1.526E-07, 3.322E+02
23.000, 2.12341660E-04, 1.537E-07, 3.322E+02
24.000, 2.28501281E-04, 1.520E-07, 3.328E+02
25.000, 2.21896375E-04, 1.537E-07, 3.325E+02
26.000, 1.96175077E-04, 1.439E-07, 3.328E+02
27.000, 1.52353359E-04, 1.412E-07, 3.325E+02
28.000, 9.88145217E-05, 1.384E-07, 3.331E+02
29.000, 4.74637951E-05, 1.351E-07, 3.329E+02
30.000, 1.64239718E-06, 1.365E-07, 3.329E+02
31.000, -4.11685163E-05, 1.378E-07, 3.328E+02
32.000, -7.85393793E-05, 1.431E-07, 3.329E+02
33.000, -1.02681677E-04, 1.393E-07, 3.332E+02
34.000, -1.12276672E-04, 1.400E-07, 3.333E+02
35.000, -1.10822451E-04, 1.435E-07, 3.332E+02
36.000, -9.93685666E-05, 1.440E-07, 3.334E+02
37.000, -7.73236064E-05, 1.363E-07, 3.333E+02
38.000, -4.89451552E-05, 1.344E-07, 3.333E+02
39.000, -2.13532615E-05, 1.319E-07, 3.335E+02
40.000, 3.13988630E-06, 1.356E-07, 3.334E+02
41.000, 2.62362559E-05, 1.342E-07, 3.333E+02
42.000, 4.62035034E-05, 1.354E-07, 3.342E+02
43.000, 5.88499667E-05, 1.369E-07, 3.338E+02
44.000, 6.33066769E-05, 1.404E-07, 3.337E+02
45.000, 6.24370736E-05, 1.375E-07, 3.340E+02
46.000, 5.64721727E-05, 1.359E-07, 3.337E+02
47.000, 4.43870798E-05, 1.347E-07, 3.337E+02
48.000, 2.81385944E-05, 1.353E-07, 3.338E+02
49.000, 1.20868071E-05, 1.334E-07, 3.337E+02
50.000, -2.52068055E-06, 1.311E-07, 3.337E+02
51.000, -1.69387721E-05, 1.275E-07, 3.340E+02
52.000, -2.97725931E-05, 1.283E-07, 3.337E+02
53.000, -3.80472840E-05, 1.309E-07, 3.337E+02
54.000, -4.09204798E-05, 1.375E-07, 3.338E+02
55.000, -4.04469361E-05, 1.384E-07, 3.336E+02
56.000, -3.67220052E-05, 1.412E-07, 3.343E+02
57.000, -2.86927304E-05, 1.389E-07, 3.343E+02
58.000, -1.76543259E-05, 1.376E-07, 3.342E+02
59.000, -6.87720977E-06, 1.284E-07, 3.340E+02
60.000, 2.75408600E-06, 1.186E-07, 3.341E+02
61.000, 1.21103273E-05, 1.119E-07, 3.340E+02
62.000, 2.06739477E-05, 1.072E-07, 3.340E+02
63.000, 2.59155588E-05, 1.096E-07, 3.340E+02
64.000, 2.74943086E-05, 1.182E-07, 3.340E+02
65.000, 2.69170291E-05, 1.358E-07, 3.340E+02
66.000, 2.45736146E-05, 1.489E-07, 3.341E+02
67.000, 1.91161096E-05, 1.546E-07, 3.340E+02
68.000, 1.16012723E-05, 1.567E-07, 3.339E+02
69.000, 4.30051984E-06, 1.556E-07, 3.341E+02
70.000, -2.28900153E-06, 1.476E-07, 3.340E+02
71.000, -8.94150814E-06, 1.415E-07, 3.340E+02
72.000, -1.51501832E-05, 1.360E-07, 3.340E+02
73.000, -1.88245220E-05, 1.331E-07, 3.340E+02
74.000, -1.99288804E-05, 1.314E-07, 3.341E+02
75.000, -1.96015332E-05, 1.378E-07, 3.340E+02
76.000, -1.78609150E-05, 1.336E-07, 3.340E+02
77.000, -1.38032940E-05, 1.351E-07, 3.340E+02
78.000, -8.16292958E-06, 1.363E-07, 3.342E+02
79.000, -2.77199224E-06, 1.388E-07, 3.340E+02
80.000, 2.07818092E-06, 1.366E-07, 3.340E+02
81.000, 6.84331278E-06, 1.353E-07, 3.340E+02
82.000, 1.12903941E-05, 1.315E-07, 3.340E+02
83.000, 1.39124758E-05, 1.345E-07, 3.346E+02
84.000, 1.45959868E-05, 1.320E-07, 3.346E+02
85.000, 1.42439652E-05, 1.343E-07, 3.346E+02
86.000, 1.28540190E-05, 1.324E-07, 3.345E+02
87.000, 9.96966433E-06, 1.317E-07, 3.345E+02
88.000, 5.77558529E-06, 1.333E-07, 3.346E+02
89.000, 1.65939230E-06, 1.326E-07, 3.343E+02
90.000, -1.85624018E-06, 1.321E-07, 3.344E+02
91.000, -5.49950558E-06, 1.332E-07, 3.344E+02
92.000, -8.88296886E-06, 1.323E-07, 3.343E+02
93.000, -1.08504139E-05, 1.287E-07, 3.344E+02
94.000, -1.13387796E-05, 1.298E-07, 3.345E+02
95.000, -1.09989496E-05, 1.315E-07, 3.344E+02
96.000, -1.00294121E-05, 1.311E-07, 3.343E+02
97.000, -7.66929284E-06, 1.295E-07, 3.343E+02
98.000, -4.31491095E-06, 1.323E-07, 3.344E+02
99.000, -1.15428363E-06, 1.293E-07, 3.343E+02
